Party Code,Outlet Code,Transaction Type,Trans Type,Trans Category,Trans Date,Doc No,Pcs,Stock Code,Customer Name,Outlet Nickname,Design No,Collection,Product Category,Sub Category,Dsd Size,Solitaire Uid,Solitaire Shape,Solitaire Color,Solitaire Quality,Sol Wt,Sol Pcs,Collection Charge,Solitaire Mrp,Solitaire Pj Masrgin,Solitaire Extra Pj Masrgin,Sol Customer Disc,Solitaire Net Amount,Diamond Shape,Diamond Color,Diamond Clarity,Diamond Wt,Diamond Pcs,Diamond Mrp,Diamond Pj Margin,Diamond Customer Disc,Diamond Net Amount,Gross Weight,Gold Net Wt,Purity,Metal Colour,Gold Mrp,Gold Pj Margin,Metal Invoice Amt,Paltinum Net Wt,Platinum Pj Margin,Platinum Mrp,Other Metal Mrp,Rco Amount,Sco Amount,Total Customer Discount,Total Pj Extra Margin,Total Pj Margin,Taxable Amount,Tax Amount,Total Amount,Row Status,Session Id,Sales Person,Net Wt,Order For,Order Date,Order No,Order Party,City,Zone
PJ001,OT031,MEMO INVOICE,INV,OUTRIGHT,45808,DS0343/25-26,1,14R0I,RANKA JEWELLERS AND BROTHERS PVT LTD (RP),RANKA-A-BG,DRF9170-0.14-0.17-18KT-10,Ballerina,RING,Female Ring,0.14-0.17,18E7E65,RND,EF,VVS,0.14,1,1000,29120,5532.8,0,0,23587.2,RND,EF,VVS,0.1,20,10100,2222,0,7878,3.2852,3.237,18KT,Yellow,33179.25,4785.095,29394.155,0,0,0,0,0,0,0,0,12539.895,60859.355,1825.78065,60859.355,0,1683276,DIBYAJYOTI HAJRA,3.237,-,16/02/2024,-,,PUNE         ,WEST
PJ001,OT031,MEMO INVOICE,INV,OUTRIGHT,45808,DS0343/25-26,1,13U1F,RANKA JEWELLERS AND BROTHERS PVT LTD (RP),RANKA-A-BG,DRF9170-0.14-0.17-18KT-12,Ballerina,RING,Female Ring,0.14-0.17,17A3Z24,RND,GH,VVS,0.17,1,1000,33660,6395.4,0,0,27264.6,RND,GH,VS,0.09,20,7290,1603.8,0,5686.2,3.7302,3.678,18KT,Yellow,37699.5,5417.93,33281.57,0,0,0,0,0,0,0,0,13417.13,66232.3699,1986.971097,66232.3699,0,1683276,DIBYAJYOTI HAJRA,3.678,-,16/02/2024,-,,PUNE         ,WEST
PJ001,OT031,MEMO INVOICE,INV,OUTRIGHT,45808,DS0343/25-26,1,13R2X,RANKA JEWELLERS AND BROTHERS PVT LTD (RP),RANKA-A-BG,DRF9168-0.14-0.17-18KT-10,Ballerina,RING,Female Ring,0.14-0.17,16N6F82,RND,EF,VVS,0.16,1,1000,33280,6323.2,0,0,26956.8,"RND,RND,RND",EF,VVS,0.12,22,12120,2666.4,0,9453.6,3.21002,3.154,18KT,Yellow,32328.5,4665.99,28662.51,0,0,0,0,0,0,0,0,13655.59,65072.9099,1952.187297,65072.9099,0,1683276,DIBYAJYOTI HAJRA,3.154,-,16/02/2024,-,,PUNE         ,WEST
PJ001,OT031,MEMO INVOICE,INV,OUTRIGHT,45808,DS0343/25-26,1,13E8I,RANKA JEWELLERS AND BROTHERS PVT LTD (RP),RANKA-A-BG,DRM9146-0.14-0.17-18KT-20,Generic,RING,Male Ring,0.14-0.17,17Z8G91,RND,EF,VS,0.17,1,0,32980,6266.2,0,0,26713.8,RND,GH,VS,0.08,20,6480,1425.6,0,5054.4,5.678,5.628,18KT,Yellow White,57687,8076.18,49610.82,0,0,0,0,0,0,0,0,15767.98,81379.02,2441.3706,81379.02,0,1683276,DIBYAJYOTI HAJRA,5.628,-,16/02/2024,-,,PUNE         ,WEST
PJ001,OT031,MEMO INVOICE,INV,OUTRIGHT,45808,DS0343/25-26,1,12P1P,RANKA JEWELLERS AND BROTHERS PVT LTD (RP),RANKA-A-BG,DRF9075-0.23-0.29-18KT-12,Setu Collection,RING,Female Ring,0.23-0.29,13M0V01,RND,F,VVS2,0.24,1,0,52080,8853.6,0,0,43226.4,RND,GH,VS,0.23,22,18630,4098.6,0,14531.4,3.785,3.691,18KT,Yellow,37832.75,5296.585,32536.165,0,0,0,0,0,0,0,0,18248.785,90293.965,2708.81895,90293.965,0,1683276,DIBYAJYOTI HAJRA,3.691,-,16/02/2024,-,,PUNE         ,WEST
PJ054,PJ054,MEMO INVOICE,INV,EXHIBITION,45807,DS0324/25-26,1,12S0N,PANDIT JEWELLERS PVT LTD,PANDIT,DRF8837-0.23-0.29-18KT-14,Setu Collection,RING,Female Ring,0.23-0.29,15S2H67,RND,G,VVS2,0.29,1,0,62640,12528,0,0,50112,RND,GH,VS,0.23,34,18630,4657.5,0,13972.5,4.8302,4.726,18KT,Rose,48441.5,7266.225,41175.275,0,0,0,0,0,0,0,0,24451.725,105259.775,3157.79325,105259.775,0,1683276,NILESH JAIN,4.726,-,16/02/2024,-,,Bulandshahr  ,EAST
PJ054,PJ054,MEMO INVOICE,INV,EXHIBITION,45807,DS0324/25-26,1,14R5H,PANDIT JEWELLERS PVT LTD,PANDIT,DPF9504---18KT--,Ballerina,NECKWEAR,Female Pendant,0.10-0.13,12I4B65,RND,GH,VVS,0.13,1,1000,23530,5176.6,0,0,18353.4,"RND,RND,RND,RND,RND,RND",GH,VS,0.22,16,17779.5,4444.875,0,13334.625,1.8299,1.76,18KT,Yellow,18040,2856,16184,0,0,0,0,0,0,0,0,12477.475,47872.02492,1436.160748,47872.02492,0,1683276,NILESH JAIN,1.76,-,16/02/2024,-,,Bulandshahr  ,EAST
PJ054,PJ054,MEMO INVOICE,INV,EXHIBITION,45807,DS0324/25-26,1,17G5M,PANDIT JEWELLERS PVT LTD,PANDIT,DRM9235-0.14-0.17-18KT-22,Generic,RING,Male Ring,0.14-0.17,44D3R89,RND,IJ,VVS,0.16,1,0,24480,5385.6,0,0,19094.4,,,,,,,,,,5.55,5.518,18KT,Yellow White,56559.5,8483.925,48075.575,0,0,0,0,0,0,0,0,13869.525,67169.975,2015.09925,67169.975,0,1683276,NILESH JAIN,5.518,-,16/02/2024,-,,Bulandshahr  ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45814,DS0412/25-26,1,18H1Y,MFG-D P DESIGNS PVT LTD,RS,DSC9791-0.18-0.22-22KT--,Generic,COIN,Solitaire Coin,,,,,,,,0,,,,,,,,,,,,,,,3.061,3.061,22KT,Yellow,22783.023,0,22783.023,0,0,0,0,0,0,0,0,0,22783.023,683.49069,22783.023,0,1683276,JIGNESH MEHTA,3.061,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45814,DS0412/25-26,1,14X2W,MFG-D P DESIGNS PVT LTD,RS,DSC9789-0.10-0.13-22KT--,Generic,COIN,Solitaire Coin,,,,,,,,0,,,,,,,,,,,,,,,1.087,1.087,22KT,Yellow,8090.541,0,8090.541,0,0,0,0,0,0,0,0,0,8090.541,242.71623,8090.541,0,1683276,JIGNESH MEHTA,1.087,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45814,DS0412/25-26,1,17Y1A,MFG-D P DESIGNS PVT LTD,RS,DSC9791-0.18-0.22-22KT--,Generic,COIN,Solitaire Coin,,,,,,,,0,,,,,,,,,,,,,,,3.016,3.016,22KT,Yellow,22448.088,0,22448.088,0,0,0,0,0,0,0,0,0,22448.088,673.44264,22448.088,0,1683276,JIGNESH MEHTA,3.016,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45814,DS0412/25-26,1,233CL,MFG-D P DESIGNS PVT LTD,RS,DSC9789-0.10-0.13-22KT--,Generic,COIN,Solitaire Coin,,,,,,,,0,,,,,,,,,,,,,,,1.062,1.062,22KT,Yellow,7904.466,0,7904.466,0,0,0,0,0,0,0,0,0,7904.466,237.13398,7904.466,0,1683276,JIGNESH MEHTA,1.062,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45814,DS0412/25-26,1,189CL,MFG-D P DESIGNS PVT LTD,RS,DSC9789-0.10-0.13-22KT--,Generic,COIN,Solitaire Coin,,,,,,,,0,,,,,,,,,,,,,,,1.017,1.017,22KT,Yellow,7569.531,0,7569.531,0,0,0,0,0,0,0,0,0,7569.531,227.08593,7569.531,0,1683276,JIGNESH MEHTA,1.017,-,16/02/2024,-,,MUMBAI       ,EAST
