Party Code,Outlet Code,Trans Type,Transaction Type,Trans Category,Trans Date,Doc No,Pcs,Stock Code,Customer Name,Outlet Nickname,Design No,Product Category,Dsd Size,Solitaire Shape,Solitaire Color,Solitaire Quality,Sol Wt,Rate,Premium Per,Prem Amt,Solitaire Mrp,Solitaire Net Amount,Pj Customer Scheme Disc Amt,Customer Sch Disc Amt,Pj Disc,Policy Disc Amt,Extra Pj Disc,Extra Pj Disc Amt,Taxable Amount,Tax Amount,Total Cust Disc Amt,Total Amount,Rco,Sco,Trans Remark,Memo Type,Order No,Order Party Name,Salesperson,City,Zone
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45789,DS0207/25-26,1,11C5Z58,H.DIPAK & CO,H.DIPAK & CO,SOL-RND-0.30-0.38-H-VS2,SOLITAIRE,0.30-0.38,RND,H,VS2,0.33,64574,0,0,21309.42,21309.42,0,0,0,0,0,0,21309.42,319.6413,0,21629.0613,0,0,,Consignment Stock Approved,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45804,DS0298/25-26,1,87X5L37,H.DIPAK & CO,H.DIPAK & CO,SOL-RND-0.14-0.17-EF-VVS,SOLITAIRE,0.14-0.17,RND,EF,VVS,0.14,83489,0,0,11688.46,11688.46,0,0,0,0,0,0,11688.46,175.3269,0,11863.7869,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45804,DS0298/25-26,1,5E555-17850,H.DIPAK & CO,H.DIPAK & CO,SOL-RND-0.18-0.22-F-VS1,SOLITAIRE,0.18-0.22,RND,F,VS1,0.18,89912,0,0,16184.16,16184.16,0,0,0,0,0,0,16184.16,242.7624,0,16426.9224,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45804,DS0298/25-26,1,16S0A16,H.DIPAK & CO,H.DIPAK & CO,SOL-RND-0.18-0.22-D-VVS2,SOLITAIRE,0.18-0.22,RND,D,VVS2,0.18,89912,0,0,16184.16,16184.16,0,0,0,0,0,0,16184.16,242.7624,0,16426.9224,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45804,DS0298/25-26,1,17J8Q91,H.DIPAK & CO,H.DIPAK & CO,SOL-PRN-0.10-0.13-EF-VVS,SOLITAIRE,0.10-0.13,PRN,EF,VVS,0.1,34252,0,0,3425.2,3425.2,0,0,0,0,0,0,3425.2,51.378,0,3476.578,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45804,DS0298/25-26,1,16N5L94,H.DIPAK & CO,H.DIPAK & CO,SOL-PRN-0.10-0.13-EF-VVS,SOLITAIRE,0.10-0.13,PRN,EF,VVS,0.1,34252,0,0,3425.2,3425.2,0,0,0,0,0,0,3425.2,51.378,0,3476.578,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,93XR4N3,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.10-0.13-GH-VVS,SOLITAIRE,0.10-0.13,MAQ,GH,VVS,0.13,42576,0,0,5534.88,5534.88,0,0,0,0,0,0,5534.88,83.0232,0,5617.9032,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,69RX7V9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.10-0.13-EF-VVS,SOLITAIRE,0.10-0.13,MAQ,EF,VVS,0.13,45681,0,0,5938.53,5938.53,0,0,0,0,0,0,5938.53,89.07795,0,6027.60795,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,69RD4C7,H.DIPAK & CO,H.DIPAK & CO,SOL-PER-0.39-0.44-D-VS1,SOLITAIRE,0.39-0.44,PER,D,VS1,0.4,63864,0,0,25545.6,25545.6,0,0,0,0,0,0,25545.6,383.184,0,25928.784,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,99EY6P9,H.DIPAK & CO,H.DIPAK & CO,SOL-PER-0.30-0.38-F-VVS2,SOLITAIRE,0.30-0.38,PER,F,VVS2,0.31,58764,0,0,18216.84,18216.84,0,0,0,0,0,0,18216.84,273.2526,0,18490.0926,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
